cleaned_up_drug,class_drug_info,class_umls
Bupivacaine,"Anesthetics, Local|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Anesthetics|Central Nervous System Agents|Central Nervous System Depressants|Peripheral Nervous System Agents|Sensory System Agents",
Edoxaban,Enzyme Inhibitors|Protease Inhibitors|Serine Proteinase Inhibitors|Antithrombins|Factor Xa Inhibitors|Hematologic Agents|Anticoagulants,
heparin,Anticoagulants|Drug / Therapeutic Agent|Fibrinolytic Agents|Human Data|Mutation Data|Natural Product|Reproductive Effect|Cardiovascular Agents|Fibrin Modulating Agents|Hematologic Agents,
H1N1,,
non-adjuvanted,,
rivaroxaban,Anticoagulants|Hematologic Agents|Antithrombins|Enzyme Inhibitors|Factor Xa Inhibitors|Protease Inhibitors|Serine Proteinase Inhibitors,
Low-molecular-weight,,
Sativex®,,
Lipofundin,,
EN3267,,
Semuloparin,Anticoagulants|Drug / Therapeutic Agent|Fibrinolytic Agents|Human Data|Mutation Data|Natural Product|Reproductive Effect|Cardiovascular Agents|Fibrin Modulating Agents|Hematologic Agents,
Cebranopadol,,
Immunogen,,
hydromorphone,"Analgesics, Opioid|Drug / Therapeutic Agent|Human Data|Narcotics|Analgesics|Central Nervous System Agents|Central Nervous System Depressants|Peripheral Nervous System Agents|Sensory System Agents",
cisplatin+capecitabine,,
epirubicin+cisplatin+capecitabine,,
Raloxifene,"Estrogen Antagonists|Bone Density Conservation Agents|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Selective Estrogen Receptor Modulators",
mg/40,,
morphine,"Analgesics, Opioid|Drug / Therapeutic Agent|Human Data|Mutation Data|Narcotics|Reproductive Effect|Analgesics|Central Nervous System Agents|Central Nervous System Depressants|Peripheral Nervous System Agents|Sensory System Agents",
Oxymorphone,"Adjuvants, Anesthesia|Analgesics, Opioid|Drug / Therapeutic Agent|Narcotics|Analgesics|Central Nervous System Agents|Central Nervous System Depressants|Peripheral Nervous System Agents|Sensory System Agents",
R331333,,
JNS024,,
CG5503,"Adrenergic Agents|Adrenergic Uptake Inhibitors|Analgesics|Analgesics, Opioid|Central Nervous System Agents|Central Nervous System Depressants|Membrane Transport Modulators|Narcotics|Neurotransmitter Agents|Neurotransmitter Uptake Inhibitors|Peripheral Nervous System Agents|Sensory System Agents",
XERECEPT,Natural Product|Reproductive Effect,
corticorelin,,
corticorelin,Natural Product|Reproductive Effect,
CYP2D6*10,,
SonoVue®,,
SonoVue-enhanced,,
Synergo®,,
BEC2,,
Ropivacaine,"Anesthetics, Local|Anesthetics|Central Nervous System Agents|Central Nervous System Depressants|Peripheral Nervous System Agents|Sensory System Agents",
Epinephrine,Adrenergic Agonists|Bronchodilator Agents|Drug / Therapeutic Agent|Human Data|Mutation Data|Mydriatics|Reproductive Effect|Sympathomimetics|Vasoconstrictor Agents|Adrenergic Agents|Adrenergic alpha-Agonists|Adrenergic beta-Agonists|Anti-Asthmatic Agents|Autonomic Agents|Cardiovascular Agents|Neurotransmitter Agents|Peripheral Nervous System Agents|Respiratory System Agents,
Propofol,"Anesthetics, Intravenous|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Anesthetics|Anesthetics, General|Central Nervous System Agents|Central Nervous System Depressants|Hypnotics and Sedatives",
MMX®,,
HX575,Hematinics|Hematologic Agents,
ERYPO®,,
Janssen-Cilag,,
KL-140,,
tarceva,Antineoplastic Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
#NAME?,,
Anti-PDL1,,
5-Fluoro-3-Pyridinecarboxylic,,
Xaliproden,Neurotransmitter Agents|Serotonin 5-HT1 Receptor Agonists|Serotonin Agents|Serotonin Receptor Agonists,
SR57746A,,
dabepoetin,,
Telcyta,,
mFolfirinox,,
Folfirinox,,
SAR240550/BSI-201,,
HPV-16/18,,
Havrix,,
MEDI4736+Tremelimumab,,
Radioiodine,,
APF530,Antiemetics|Serotonin Antagonists|Autonomic Agents|Central Nervous System Agents|Gastrointestinal Agents|Neurotransmitter Agents|Peripheral Nervous System Agents|Serotonin Agents,
Bemiparin,Anticoagulants|Drug / Therapeutic Agent|Fibrinolytic Agents|Human Data|Mutation Data|Natural Product|Reproductive Effect|Cardiovascular Agents|Fibrin Modulating Agents|Hematologic Agents,
SAIT101,,
MabThera®,,
long-acting,,
Alvimopan,,
Alvimopan,Drug / Therapeutic Agent|Opioid Antagonist|Peripherally Restricted mu Opioid Receptor Antagonist|Gastrointestinal Agents,
ABLC,,
Icosapent,,
Cetuximab/Erbitux,,
Cisplatin/Platinol,,
Carboplatin/Paraplatin,,
Fluorouracil/Adrucil,,
raloxifene,"Estrogen Antagonists|Bone Density Conservation Agents|Estrogen Receptor Modulators|Hormone Antagonists|Hormones, Hormone Substitutes, and Hormone Antagonists|Selective Estrogen Receptor Modulators",
Donepezil,Cholinesterase Inhibitors|Nootropic Agents|Central Nervous System Agents|Cholinergic Agents|Enzyme Inhibitors|Neurotransmitter Agents,
5-FLUOROURACIL,"Antimetabolites|Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antineoplastic Agents|Immunologic Factors|Noxae",
methylphenidate,Central Nervous System Stimulants|Dopamine Agents|Dopamine Uptake Inhibitors|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Central Nervous System Agents|Neurotransmitter Agents|Neurotransmitter Uptake Inhibitors|Membrane Transport Modulators,
124-Iodine-cG250,,
low-molecular,,
heparine,Anticoagulants|Drug / Therapeutic Agent|Fibrinolytic Agents|Human Data|Mutation Data|Natural Product|Reproductive Effect|Cardiovascular Agents|Fibrin Modulating Agents|Hematologic Agents,
Trisulfate,,
V503,,
2-Day,,
Split-Dosing,,
"NER1006,1-Day",,
Before-Only,,
SP+MS,,
avapritinib,,
sucrose,Mutation Data|Reproductive Effect|Flavoring Agents|Food Additives|Sweetening Agents,
IMC-1211B,,
PegIntron,Antiviral Agents|Anti-Infective Agents,
intron,,
fosnetupitant/,,
palonosetron,Serotonin Antagonists|Neurotransmitter Agents|Serotonin Agents|Antiemetics|Central Nervous System Agents|Gastrointestinal Agents|Peripheral Nervous System Agents|Serotonin 5-HT3 Receptor Antagonists,
netupitant/palonosetron,,
Varenicline,Cholinergic Agents|Cholinergic Agonists|Neurotransmitter Agents|Nicotinic Agonists|Smoking Cessation Agents,
Bioseal,,
Olokizumab,,
CT-16,,
Alectnib,,
zoster,,
CT-P10,,
unexpanded,,
PF-05280586,"Antineoplastic Agents|Antirheumatic Agents|Immunologic Factors|Antineoplastic Agents, Immunological",
gemcitabine/Eloxatin,,
Investigator´s,,
Hetrombopag,,
Avatrombopag,,
r-HuEPO,Hematinics|Hematologic Agents,
TULY,,
GK567,,
capecitabine-irinotecan,,
capecitabine+irinotecan,,
Omega-3,,
Omegaven,,
long-chain,,
triglyceride,,
Arzoxifene,,
Innohep®,,
transmucosal,,
Macrogol,Drug / Therapeutic Agent|Mutation Data|Skin / Eye Irritant|Tumor Data|Solvents|Surface-Active Agents|Excipients|Pharmaceutic Aids|Pharmaceutical Vehicles|TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
Ascorbate,Antioxidants|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Growth Substances|Micronutrients|Protective Agents|Vitamins,
Ascorbate,,
Tavocept,,
Micelles,,
BLI850,,
bowel,,
5-ALA,Photosensitizing Agents|Dermatologic Agents|Radiation-Sensitizing Agents,
Multihance,Drug / Therapeutic Agent|Paramagnetic,
Dapsone,Anti-Infective Agents|Antimalarials|Drug / Therapeutic Agent|Folic Acid Antagonists|Human Data|Leprostatic Agents|Mutation Data|Reproductive Effect|Tumor Data|Antibacterial (Tuberculostatic)|Dermatitis Herpetiformis Suppressant|Anti-Bacterial Agents|Antiparasitic Agents|Antiprotozoal Agents|Enzyme Inhibitors,
anthracycline-based,,
Keratinocyte,,
dimeglumine,,
amphotericin,,
deoxycholate,,
Havrix-based,,
investigational,,
MK0869,Substance P Antagonist|Antiemetic (in Chemotherapy-Induced Emesis)|Antiemetics|Autonomic Agents|Central Nervous System Agents|Gastrointestinal Agents|Peripheral Nervous System Agents|Neurokinin-1 Receptor Antagonists|Neurotransmitter Agents,
UGN-101,,
dronabinol,"Analgesics, Non-Narcotic|Drug / Therapeutic Agent|Hallucinogens|Mutation Data|Natural Product|Psychotropic Drugs|Reproductive Effect|Tumor Data|Analgesics|Central Nervous System Agents|Peripheral Nervous System Agents|Sensory System Agents|Cannabinoid Receptor Agonists|Cannabinoid Receptor Modulators|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Neurotransmitter Agents",
carboxymaltose,,
Cavilon,,
Sorbolene,,
omidubicel,,
STZ-5FU,,
PROBIO-FIX,,
INUM®,,
FKB238,,
candesartan,Angiotensin II Type 1 Receptor Blockers|Antihypertensive Agents|Cardiovascular Agents|Angiotensin Receptor Antagonists,
IBI303,,
TQB2450+cisplatin,,
ProHance,Contrast Media|Drug / Therapeutic Agent|Diagnostic Uses of Chemicals,
Gemcitabine+Cisplatin,,
pembroliziumab,,
linezolid,Antibacterial|Anti-Infective Agents|Protein Synthesis Inhibitors|Enzyme Inhibitors|Anti-Bacterial Agents,
vancomycin,Drug / Therapeutic Agent|Human Data|Natural Product|Anti-Bacterial Agents|Anti-Infective Agents,
Benzydamine,Drug / Therapeutic Agent|Anti-Inflammatory Agents,
ustekinumab,Dermatologic Agents,
Trovax,,
Ra223,,
Secukinumab,,
AIN457,,
EPA-FFA,,
D2E7,Monoclonal Antibody|Anti-Inflammatory Agents|Antirheumatic Agents,
Benralizumab,Anti-Asthmatic Agents|Respiratory System Agents,
Mometasone,Anti-Allergic Agents|Anti-Inflammatory Agents,
Furoate,,
Etrozulimab,,
etrolizumab,Gastrointestinal Agents|Immunologic Factors,
Etrolizumab,Gastrointestinal Agents|Immunologic Factors,
Propionate,,
AndroGel,"Drug / Therapeutic Agent|Hormone|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Androgens|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists",
Sulindac,"Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|Drug / Therapeutic Agent|Human Data|Reproductive Effect|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Antineoplastic Agents|Antirheumatic Agents|Enzyme Inhibitors|Peripheral Nervous System Agents|Sensory System Agents",
"CP-690,550",Enzyme Inhibitors|Protein Kinase Inhibitors,
tocilizumab,,
RoActemra/Actemra,,
Venlafaxine,"Antidepressive Agents, Second-Generation|Serotonin Uptake Inhibitors|Antidepressant|Antidepressive Agents|Central Nervous System Agents|Neurotransmitter Agents|Neurotransmitter Uptake Inhibitors|Psychotropic Drugs|Serotonin Agents|Membrane Transport Modulators",
"PN-152,243",,
"/PN-196,444",,
FEC-DocGemzar,,
FEC-Doc,,
paracetamol,"Analgesics, Non-Narcotic|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Analgesics|Central Nervous System Agents|Peripheral Nervous System Agents|Sensory System Agents|Antipyretics",
Dara,,
plitidepsin,,
Melphalan+Prednisolone,,
comedication,,
dabigatran,Thrombin Inhibitor|Anticoagulants|Antithrombins|Enzyme Inhibitors|Hematologic Agents|Protease Inhibitors|Serine Proteinase Inhibitors,
four-week,,
Acetylcarnitine,Central Nervous System Agents|Growth Substances|Micronutrients|Nootropic Agents|Vitamin B Complex|Vitamins,
Acetylcarnitine,Nootropic Agents|Central Nervous System Agents|Growth Substances|Micronutrients|Vitamin B Complex|Vitamins,
Baricitinib,,
cDMARD,,
Fibrinogen,TSCA UVCB,
thrombin,Mutation Data|Hemostatics|Coagulants|Hematologic Agents|TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
TachoSil,,
Shantha,,
Biotechnics,,
DMARDs,,
Certolizumab,Immunologic Factors|Immunosuppressive Agents|Antirheumatic Agents,
CDP870,,
certolizumab,Immunologic Factors|Immunosuppressive Agents|Antirheumatic Agents,
Casopitant,Antiemetics|Autonomic Agents|Central Nervous System Agents|Gastrointestinal Agents|Neurokinin-1 Receptor Antagonists|Neurotransmitter Agents|Peripheral Nervous System Agents,
PBSCT,,
M-VTD-PACE,,
TT3-LITE,,
L-TT3,,
Fibrin,,
Sealant,,
Brivaracetam,Anticonvulsants|Central Nervous System Agents,
Dextrose,Human Data|Mutation Data|Reproductive Effect|Tumor Data|Flavoring Agents|Food Additives|Sweetening Agents,
Dextrose,,
Fotemustin,,
DFP-10917,,
Uproleselan,,
glasdegib,,
LoDAC,,
guadecitabine,,
Low-dose,,
Intermediate-dose,,
IDAC,,
FLAG-IDA,,
Granulocyte-Colony,,
ASCT-con,,
ASCT-aug,,
Bortezomib-Melphalan,,
GARDASIL,,
histamine,Mutation Data|Natural Product|Reproductive Effect|Histamine Agents|Histamine Agonists|Neurotransmitter Agents,
Busilvex,,
CCRD,,
non-intensive,,
CRDa,,
CTDa,,
MDX-1379,,
InjectionGemcitabine,,
MitoGel,,
Darcabazine,,
BAF312,,
palifosfamide-tris,,
PAZOPANIB,,
methyl-aminolevulinate,,
ozogamycin,,
FEDRATINIB,Antineoplastic,
ponatinib,Antineoplastic Agents|Protein Kinase Inhibitors|Enzyme Inhibitors,
5-fluorouracil/salicylic,,
GZ427397,,
OFATUMUMAB,Antineoplastic Agents,
RITUXIMAB,"Antineoplastic Agents|Antirheumatic Agents|Immunologic Factors|Antineoplastic Agents, Immunological",
Polycap,,
Hextend,,
ALA-PDT,,
Ameluz®-PDT,,
eLOOP,,
Cisplatin/carboplatin,,
allovectin-7/dacarbazine,,
Twinrix,Vaccines,
Paediatric,,
Engerix,,
Efudex®,,
Carac®,,
LEO43204,,
Perrigo,,
Iomab-B,,
NDL-PDT,,
c-PDT,,
metabute,,
Metvix,Dermatologic Agents|Photosensitizing Agents|Radiation-Sensitizing Agents,
Metvix,,
Carac,"Antimetabolites|Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Antineoplastic Agents|Immunologic Factors|Noxae",
LASW1510,,
Aldara,,
Canada,,
prolifespan,,
GLIADEL®,,
HSV-Tk,,
depatuxizumab,,
mafodotin,,
Vasoconstrictor,,
Afinitor,Immunosuppressant|Immunologic Factors|Immunosuppressive Agents|Antineoplastic Agents,
Virus-Like,,
REPEVAX,,
Non-concomitant,,
Gardasil®,,
Gardasil,,
Metvix®,,
rAd-IFN,,
Gadopentetate,,
Gadopentetate,Contrast Media|Diagnostic Uses of Chemicals,
Dimeglumine,,
BAY86-4882,,
Votrient,,
Nonavalent,,
Thromboreductin,Drug / Therapeutic Agent|Cardiovascular Agents|Fibrinolytic Agents|Hematologic Agents|Platelet Aggregation Inhibitors,
CervarixTM,,
MK0966,"Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Cyclooxygenase 2 Inhibitors|Enzyme Inhibitors|Peripheral Nervous System Agents|Sensory System Agents|Antirheumatic Agents",
Rofecoxib,"Anti-Inflammatory Agents, Non-Steroidal|Cyclooxygenase Inhibitors|Analgesics|Analgesics, Non-Narcotic|Anti-Inflammatory Agents|Cyclooxygenase 2 Inhibitors|Enzyme Inhibitors|Peripheral Nervous System Agents|Sensory System Agents|Antirheumatic Agents",
mg/day,,
Peg-alpha,,
Peg-Intron,Antiviral Agents|Anti-Infective Agents,
epacadostat,,
GARDASIL,Vaccine,
PGL4001,,
Abnoba,,
Viscum,,
SmPC,,
Amphotericin,,
AFATINIB,Antineoplastic Agents|Radiation-Sensitizing Agents|Enzyme Inhibitors|Protein Kinase Inhibitors,
Engerix,,
zanubrutinib,,
lymphodepleting,,
immunochemotherapy,,
HSCT,,
DRL_RI,,
Chemoimmunotherapy,,
pasudotox,,
Protectant,,
Hydroxydaunorubicin,,
Oncovin,Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Tumor Data,
interferon-a-2a,,
Mabthera/Rituxan,,
Post-Chlorambucil,,
Second-line,,
Anticancer,,
Anti-cancer,,
hydroxydaunorubicin,,
Analgesic/antipyretic,,
antihistamine,,
Gemcitabine/Cisplatin,,
Y-ibritumomab,,
Daromun,,
pixantrone,Antineoplastic Agents|Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors,
pixantrone,Enzyme Inhibitors|Topoisomerase II Inhibitors|Topoisomerase Inhibitors,
Oxalplatin,,
Ifosfasmide,,
Mitoxatrone,,
POL-103A,,
arginine,Mutation Data,
deiminase,,
Levoketoconazole,,
NPC-12G,,
NPC-07,,
E2/NETA,,
OBE2109,,
Add-back,,
osilodrostat,,
loperamide,Antidiarrheals|Drug / Therapeutic Agent|Gastrointestinal Agents,
D961H,,
M-Vax-,,
hapten-modified,,
Civacir®,,
Pegylated-Proline-Interferon,,
Pre-filled,,
Interferon-alfa,,
Peg-P-IFN-alpha-2b,,
Semustine,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Human Data|Mutation Data|Skin / Eye Irritant|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
123I-mIBG,,
meta-iodobenzylguanidine,Antineoplastic Agents|Enzyme Inhibitors|Indicators and Reagents|Radiopharmaceuticals|Diagnostic Uses of Chemicals,
magnesium,,
Nexium,,
XIAFLEX,TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
XIAPEX,TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
CCNU,"Antineoplastic Agents, Alkylating|Drug / Therapeutic Agent|Human Data|Mutation Data|Reproductive Effect|Tumor Data|Alkylating Agents|Antineoplastic Agents|Noxae",
Xiapex,TSCA Flag XU (Exempt from Reporting under Chemical Data Reporting Rule),
INC424/INCB018424,,
CYTARABINE,"Antimetabolites, Antineoplastic|Antiviral Agents|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Anti-Infective Agents|Antimetabolites|Antineoplastic Agents|Immunologic Factors|Noxae",
DASATINIB,Antineoplastic|Enzyme Inhibitors|Protein Kinase Inhibitors,
DASATINIB,Protein Kinase Inhibitors|Enzyme Inhibitors|Antineoplastic Agents,
DEXAMETHASONE,"Antiemetics|Antineoplastic Agents, Hormonal|Drug / Therapeutic Agent|Hormone|Human Data|Mutation Data|Reproductive Effect|Immunomodulator|Adrenal Cortex Hormones|Anti-Inflammatory Agents|Antineoplastic Agents|Autonomic Agents|Central Nervous System Agents|Gastrointestinal Agents|Glucocorticoids|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Peripheral Nervous System Agents",
HYDROCORTISONE,Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Anti-Inflammatory Agents,
LEUCOVORIN,Growth Substances|Micronutrients|Vitamin B Complex|Vitamins|Antidotes|Protective Agents,
CALCIUM,Calcium-Regulating Hormones and Agents,
MERCAPTOPURINE,"Antimetabolites|Antimetabolites, Antineoplastic|Drug / Therapeutic Agent|Human Data|Immunosuppressive Agents|Mutation Data|Nucleic Acid Synthesis Inhibitors|Reproductive Effect|Tumor Data|Antineoplastic Agents|Enzyme Inhibitors|Immunologic Factors|Noxae",
MERCAPTOPURINE,"Mutation Data|Reproductive Effect|Antimetabolites|Antimetabolites, Antineoplastic|Antineoplastic Agents|Enzyme Inhibitors|Immunologic Factors|Immunosuppressive Agents|Noxae|Nucleic Acid Synthesis Inhibitors",
METHOTREXATE,"Abortifacient Agents, Nonsteroidal|Agricultural Chemical|Antimetabolites, Antineoplastic|Antirheumatic Agents|Dermatologic Agents|Drug / Therapeutic Agent|Enzyme Inhibitors|Folic Acid Antagonists|Human Data|Immunosuppressive Agents|Insecticide|Mutation Data|Nucleic Acid Synthesis Inhibitors|Reproductive Effect|Skin / Eye Irritant|Tumor Data|Abortifacient Agents|Antimetabolites|Antineoplastic Agents|Immunologic Factors|Noxae|Reproductive Control Agents",
NELARABINE,Antineoplastic,
pegaspargase,Antineoplastic Agents,
IU/m2,,
IM862,"Immunomodulator|Adjuvants, Immunologic|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Anti-Arrhythmia Agents|Antidotes|Antineoplastic Agents|Cardiovascular Agents|Growth Inhibitors|Growth Substances|Immunologic Factors|Protective Agents",
IM862,,
Amifampridine,,
amifampridine,,
Methyl-Prednisolone,"Antiemetics|Drug / Therapeutic Agent|Human Data|Neuroprotective Agents|Anti-Inflammatory|Immunosuppressant|Adrenal Cortex Hormones|Anti-Inflammatory Agents|Autonomic Agents|Central Nervous System Agents|Gastrointestinal Agents|Glucocorticoids|Hormones|Hormones, Hormone Substitutes, and Hormone Antagonists|Peripheral Nervous System Agents|Protective Agents",
Procarbazine,Antineoplastic Agents|Drug / Therapeutic Agent|Mutation Data|Reproductive Effect|Tumor Data,
GWP42003-P,,
VLP/AS04,,
Antiepileptic,,
